AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
23.055999999999997,1019.3,62.777,4.2547,30.505,1100.0,542.3,150.94,13.379000000000001,1.6653,49.305
25.551,1010.5,81.232,4.4498,29.848000000000003,1099.6,545.38,146.08,13.117,1.0618,55.238
18.25,1017.9,81.40100000000001,3.9130000000000003,21.331,1043.6,539.33,113.22,11.017000000000001,12.659,71.888
19.743,1016.0,82.35600000000001,3.7566,24.195999999999998,1078.6,549.94,130.07,11.890999999999998,2.0195,52.263000000000005
26.956999999999997,1010.2,65.205,5.376,30.726,1099.9,544.02,148.01,13.272,1.0975,55.536
17.345,1013.6,94.245,3.8311,24.456,1076.3,550.34,129.01,11.800999999999998,1.9463,52.593999999999994
20.247,1007.2,89.851,3.773,23.888,1072.2,550.4,126.69,11.572000000000001,1.7055,54.56399999999999
27.0,1007.3,72.044,4.2945,29.275,1099.5,547.61,145.01,13.050999999999998,1.4297,54.742
21.749000000000002,1005.8,97.61200000000001,5.272,31.199,1099.8,542.79,149.4,13.325999999999999,1.0839,54.717
17.605,1013.5,52.666000000000004,3.4922,31.869,1086.1,549.87,137.13,12.257,0.50045,60.64
19.532,1005.7,96.52600000000001,4.8541,31.279,1099.5,541.33,152.54,13.452,1.2034,56.331
10.297,1013.7,92.995,3.5489,24.718000000000004,1075.2,550.18,133.11,11.856,1.0732,61.086000000000006
13.042,1020.1,49.998999999999995,3.6301,25.061,1087.1,549.99,133.83,11.909,1.3724,64.36
23.153000000000002,1010.1,83.493,5.2245,30.108,1100.0,545.39,147.6,13.2,1.1781,55.055
28.517,1010.4,79.377,3.9286,25.461,1079.7,550.03,128.08,11.856,2.0539,43.623999999999995
22.9,1010.5,84.164,3.1368,20.007,1051.6,550.08,110.07,10.637,4.3128,42.755
18.331,1004.9,68.554,3.7623,25.726999999999997,1083.6,549.98,136.23,12.013,1.7231,69.52199999999999
16.67,1016.3,85.594,2.3013,19.528,1049.1,550.03,109.96,10.417,2.0439,47.376000000000005
22.932,1009.6,83.662,3.827,24.976,1080.9,549.57,131.3,12.014000000000001,2.6217,62.26
4.7414,1011.4,85.32799999999999,2.6405,21.901,1052.4,549.63,113.76,10.519,4.8359,77.263
5.5423,1021.1,78.277,3.4293,24.305,1084.3,550.15,134.51,11.852,1.4073,66.366
13.474,1013.8,78.47800000000001,3.408,24.509,1073.7,549.88,130.73,11.690999999999999,1.3171,60.631
16.825,1018.9,57.868,3.2686,23.623,1076.2,550.44,129.19,11.724,2.6188,52.797
8.4524,1020.7,67.77199999999999,3.7226,32.954,1100.2,537.13,159.34,13.738,0.59439,60.123999999999995
12.353,1009.2,87.522,3.6462,25.182,1086.5,550.04,134.47,11.912,1.3283,60.703
21.59,1010.7,73.868,4.3148,30.799,1099.9,542.42,151.02,13.394,1.6817,50.183
24.269000000000002,1010.6,80.954,5.1845,28.226,1092.9,546.08,140.87,12.802,1.7563,57.045
18.073,1011.8,72.57300000000001,3.4439,30.83,1083.1,550.11,134.62,11.977,3.3605,61.125
14.883,1016.2,83.905,3.3222,29.052,1095.0,542.8,148.59,13.026,0.75027,60.482
8.6994,1025.5,82.94200000000001,4.5969999999999995,33.996,1100.0,531.91,164.66,14.220999999999998,1.2602,76.506
10.74,1023.3,100.07,4.0496,25.353,1079.5,550.09,135.55,11.932,0.77266,59.251999999999995
11.055,1018.7,76.212,3.4335,28.451,1085.1,550.08,138.17,12.2,2.6907,65.561
18.618,1012.6,92.522,3.7839,24.023000000000003,1074.6,550.04,128.08,11.722000000000001,1.8419999999999999,50.872
13.945,1013.8,79.471,3.4801,25.614,1085.6,549.99,137.32,12.129000000000001,3.1210000000000004,60.647
10.708,1013.1,78.095,4.2002,33.09,1100.1,535.87,159.49,13.777000000000001,2.8822,58.66
18.792,1016.8,88.26,4.4054,30.979,1099.9,540.01,153.02,13.554,1.493,48.136
17.533,993.62,50.791000000000004,3.4019,28.235,1074.7,549.55,129.43,11.708,3.6127,65.671
10.822000000000001,1015.5,98.24,3.5713,24.805999999999997,1077.5,549.81,134.31,11.914000000000001,1.2397,58.18
29.038,1007.5,57.262,4.6554,30.154,1100.1,546.25,148.58,13.104000000000001,1.4547,56.67100000000001
19.415,1007.3,86.884,3.4335,21.745,1062.2,550.47,118.78,11.017000000000001,2.6222,47.312
16.404,1022.5,60.75,2.5904,18.054000000000002,1034.9,545.06,102.29,10.206,9.167,76.262
31.656999999999996,1003.9,54.206,5.0026,30.428,1100.0,546.17,146.22,13.138,1.3461,56.973
20.312,1007.8,70.015,4.8371,32.491,1099.3,537.55,155.51,13.655,1.3302,60.883
14.708,1015.5,78.311,3.2963,23.741,1076.7,550.31,130.52,11.734000000000002,2.7966,54.567
13.505,1015.5,86.809,2.6968,24.199,1064.2,549.81,121.72,11.149000000000001,2.0956,66.706
22.145,1002.6,98.44200000000001,4.2493,23.56,1069.2,550.0,122.48,11.335999999999999,2.2623,48.846000000000004
9.9997,1023.6,79.54,3.8684,35.44,1099.8,534.46,159.66,13.915999999999999,0.39551,54.6
22.755,1010.9,84.19,3.2422,19.552,1049.4,550.09,108.7,10.415999999999999,4.2997,45.195
9.1354,1011.7,97.584,4.6404,33.101,1099.7,536.18,162.16,13.898,1.1384,75.712
12.833,1007.1,84.381,2.8728,22.066,1048.0,550.37,110.4,10.45,7.1959,63.396
6.247999999999999,1018.2,91.68799999999999,2.8021,21.269000000000002,1060.0,549.25,121.5,11.03,4.2256,79.206
21.153000000000002,1014.2,48.733000000000004,3.2691,28.686,1077.8,550.04,130.36,11.751,3.1463,60.54600000000001
13.593,1002.7,95.465,3.733,25.863000000000003,1079.8,549.87,136.14,11.915,1.112,61.522
17.092,1012.2,74.036,3.3959,28.965,1081.9,550.16,134.15,12.017000000000001,2.3544,58.077
12.985,1023.4,96.03,3.5709,19.508,1050.7,550.01,111.24,10.549000000000001,5.1888,67.898
14.401,1015.3,83.147,3.9779,22.215,1064.9,550.15,122.05,11.145999999999999,3.2521,66.197
7.7697,1014.8,53.297,3.1264,24.885,1075.5,550.14,131.83,11.696,3.1316,74.952
18.500999999999998,1015.2,87.68299999999999,2.9059,19.542,1050.4,550.36,110.33,10.455,4.2852,51.607
27.680999999999997,1011.9,57.302,4.2395,29.901999999999997,1099.9,545.03,148.08,13.196,1.4122,47.35
22.91,1011.1,60.358999999999995,4.2546,23.122,1068.9,549.66,122.07,11.427,2.1097,59.076
30.136999999999997,1008.5,58.68600000000001,4.1505,25.756,1081.1,550.0,128.62,11.897,1.5273,52.882
20.382,1010.9,82.03,3.2988,21.037,1057.3,550.44,114.81,10.883,4.1224,45.115
6.3977,1027.6,74.369,3.2671,23.234,1076.1,550.18,131.24,11.700999999999999,3.0279,67.29899999999999
14.875,1012.0,85.87799999999999,3.6131,25.583000000000002,1079.2,549.98,134.54,12.03,1.3883,60.643
25.928,1005.6,86.32600000000001,5.1737,30.395,1099.9,545.51,146.47,13.145999999999999,1.5134,52.603
20.58,1013.3,61.075,4.3159,31.267,1100.0,540.34,153.37,13.517000000000001,1.4774,51.248999999999995
8.377,1008.1,81.09100000000001,2.9663,22.833000000000002,1072.1,550.17,129.97,11.585,3.3022,72.854
23.978,1019.1,66.851,5.415,31.055,1099.9,541.74,149.96,13.415,1.3739,56.21
8.5284,1009.7,95.42399999999999,3.7317,25.311999999999998,1078.4,549.84,136.12,12.004000000000001,1.2005,63.801
22.177,1003.6,74.23,4.327,30.729,1100.0,543.07,150.69,13.318,1.6747,56.623999999999995
25.029,1009.6,93.96,4.0623,23.916,1071.9,550.12,123.22,11.466,1.9141,46.516999999999996
25.886999999999997,1012.9,74.169,4.0439,23.833000000000002,1072.4,549.94,123.03,11.585999999999999,1.5197,48.477
14.614,1014.0,91.804,3.6677,25.108,1080.7,549.88,134.58,11.905,1.7178,63.76
19.084,1010.0,95.235,5.4125,31.416,1100.0,540.97,152.14,13.449000000000002,1.1083,55.211999999999996
19.347,1017.9,78.316,3.6777,24.079,1074.3,550.09,126.49,11.639000000000001,1.9431,52.532
6.7234,1007.2,72.923,3.8434,32.427,1100.1,534.64,162.89,13.936,2.563,63.68899999999999
22.074,1009.2,83.307,4.4189,28.804000000000002,1098.7,549.12,146.23,12.89,1.06,58.925
11.22,1013.5,88.166,3.457,25.241999999999997,1082.8,549.97,136.04,12.04,3.0585,63.788000000000004
12.245,1014.5,47.606,3.4381,27.43,1085.0,550.06,138.0,12.093,2.8136,69.829
19.456,1017.3,75.594,3.6819,21.011,1055.7,549.62,112.84,10.75,3.6458,63.57
15.425,1007.0,96.63,3.8333,24.948,1080.3,550.12,134.46,11.991,1.5588,63.52
10.831,1005.6,75.51,2.4141,19.908,1034.8,545.62,105.22,10.144,7.2251,86.109
27.45,1010.8,76.94800000000001,4.5037,29.61,1099.9,546.59,145.64,13.077,2.2234,50.395
