AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
12.609000000000002,1015.9,72.626,3.1997,26.176,1081.2,550.02,135.15,11.947000000000001,2.7436,69.313
18.777,1011.0,71.574,2.8942,26.639,1054.6,549.9,113.53,10.682,4.6367,60.027
25.381,1009.2,92.869,5.2946,25.89,1091.8,549.87,133.59,12.220999999999998,1.5446,57.106
2.5727,1029.5,86.24700000000001,4.732,33.188,1099.9,530.18,166.39,14.267000000000001,2.372,50.256
16.169,1009.6,85.945,3.3645,24.041,1076.9,549.58,130.51,11.78,2.2345,50.035
10.262,1006.8,79.766,3.0263,24.39,1085.6,549.97,135.04,11.788,1.4893,77.558
15.633,1018.5,81.089,4.0899,31.868000000000002,1100.0,534.04,154.26,13.595999999999998,1.4718,78.066
20.664,1014.1,93.084,3.8408,23.098000000000003,1077.2,550.11,124.73,11.453,3.01,58.619
12.87,1009.0,100.14,3.5786,24.781,1085.0,550.22,133.32,11.823,1.5409,65.85300000000001
21.155,1003.8,61.309,2.9805,19.605999999999998,1048.7,550.38,108.77,10.363,5.4536,56.473
28.785999999999998,1006.4,48.943999999999996,4.8977,26.618000000000002,1094.9,550.36,134.43,12.299000000000001,0.56003,68.915
25.596999999999998,1010.6,76.003,5.2524,26.212,1094.6,549.85,135.84,12.3,1.2647,61.794
31.147,1008.7,59.206,5.7712,28.229,1097.0,545.44,140.37,12.677,0.72721,57.178999999999995
27.642,1014.3,62.828,6.6961,30.921,1099.9,536.5,150.4,13.466,1.4976,53.919
28.059,1010.0,58.981,6.0118,30.226,1100.1,539.79,148.57,13.235,1.1246,56.725
24.057,1016.0,63.4,5.2981,25.517,1090.8,549.95,133.28,12.152000000000001,2.1125,82.15299999999999
25.39,1012.5,79.98,4.8782,26.014,1093.5,550.1,134.83,12.273,1.8797,61.2
18.214000000000002,1006.3,84.90299999999999,3.8284,24.592,1078.9,549.99,131.58,11.793,2.0978,57.20399999999999
11.37,1014.3,66.52,3.1698,27.644000000000002,1073.3,549.89,129.08,11.515,3.7813,66.279
19.526,1015.0,85.62,2.8804,19.430999999999997,1049.4,549.71,109.41,10.53,4.3378,50.24100000000001
31.441,1006.3,55.63,5.0994,27.506999999999998,1095.7,547.87,136.9,12.432,1.19,62.68899999999999
30.491,1005.9,52.995,4.3328,26.128,1092.8,550.24,132.35,12.199000000000002,0.62661,60.794
22.148000000000003,1013.4,93.601,3.5036,19.615,1056.5,550.02,108.79,10.419,4.1879,49.945
21.756,1015.6,78.532,3.3367,22.932,1063.9,547.14,120.98,11.314,3.0215,47.151
